# Commit messages across all branches (with containing branches)
# Generated: 2025-11-24T23:26:54+05:30
# Format: <hash>|<date>|<subject>|<branches>

b6d330d|2025-11-24 00:36:31 +0530|docs: update README for pnpm + add Architect/Matrix notes to Updates|feat/nextjs-migration
b9ef631|2025-11-24 00:25:15 +0530|setup pnpm|feat/nextjs-migration,origin/feat/nextjs-migration
8d878c1|2025-11-24 00:23:59 +0530|ui: rename 'Score Changes' to 'Score Δ' in game UI|feat/nextjs-migration,origin/feat/nextjs-migration
cf94b7d|2025-11-24 00:11:40 +0530|chore(ci): add missing deps (vite, @copilotkit/shared, istanbul-lib-coverage) and refresh lockfile|feat/nextjs-migration,origin/feat/nextjs-migration
c3bdd4f|2025-11-24 00:01:54 +0530|chore(ci): update package-lock.json to sync with package.json for npm ci|feat/nextjs-migration,origin/feat/nextjs-migration
5ee64d5|2025-11-23 23:57:52 +0530|ui(screens): refresh EndScreen and GameScreen for Matrix theme|feat/nextjs-migration,origin/feat/nextjs-migration
91ecc9f|2025-11-23 23:57:44 +0530|ui(game): align StatusBar and RoundSnapshotCard with new theme|feat/nextjs-migration,origin/feat/nextjs-migration
97094a7|2025-11-23 23:57:28 +0530|feat(nav): polish Navigation bar styles and icons|feat/nextjs-migration,origin/feat/nextjs-migration
8160606|2025-11-23 23:57:20 +0530|feat(settings): add in-game SettingsMenu and wire store|feat/nextjs-migration,origin/feat/nextjs-migration
5ae4f55|2025-11-23 23:57:12 +0530|chore(theme): adopt Matrix palette and adjust globals|feat/nextjs-migration,origin/feat/nextjs-migration
14d8b68|2025-11-23 22:33:49 +0530|fix: improve status bar layout and fix button visibility|feat/nextjs-migration,origin/feat/nextjs-migration
6a10c8e|2025-11-23 22:27:28 +0530|feat: improve status bar and fix dynamic grid|feat/nextjs-migration,origin/feat/nextjs-migration
eb0c092|2025-11-23 22:22:36 +0530|feat: make grid layouts dynamic to fill available space|feat/nextjs-migration,origin/feat/nextjs-migration
1d16b56|2025-11-23 22:18:34 +0530|fix: remove text truncation (line-clamp) to show all text without hiding|feat/nextjs-migration,origin/feat/nextjs-migration
e5c99b7|2025-11-23 22:12:52 +0530|fix: increase GameScreen top padding to prevent status bar overlap (pt-10 -> pt-12)|feat/nextjs-migration,origin/feat/nextjs-migration
c0a6f20|2025-11-23 22:11:02 +0530|fix: add missing ClockIcon to Icons component|feat/nextjs-migration,origin/feat/nextjs-migration
5ba94d1|2025-11-23 22:07:15 +0530|feat: add compact status bar and auto-collapse navbar in game|feat/nextjs-migration,origin/feat/nextjs-migration
7bb3c16|2025-11-23 21:50:08 +0530|feat: add collapsible navbar with keyboard shortcut|feat/nextjs-migration,origin/feat/nextjs-migration
04a71c2|2025-11-23 21:43:16 +0530|feat: optimize GameScreen layout - reduce spacing, increase grid columns, fix text wrapping|feat/nextjs-migration,origin/feat/nextjs-migration
1555737|2025-11-23 21:37:36 +0530|style: apply Matrix green text color to form inputs matching CopilotKit theme|feat/nextjs-migration,origin/feat/nextjs-migration
dbb586e|2025-11-23 21:35:30 +0530|style: increase form input opacity to 80% and border visibility to 50%|feat/nextjs-migration,origin/feat/nextjs-migration
0adf984|2025-11-23 21:34:27 +0530|fix: enhance Matrix theme with green borders and proper markdown in CopilotKit intro|feat/nextjs-migration,origin/feat/nextjs-migration
93166ae|2025-11-23 21:32:40 +0530|feat: create reusable Matrix theme system and apply to forms and CopilotKit|feat/nextjs-migration,origin/feat/nextjs-migration
69dc724|2025-11-23 21:29:16 +0530|style: update CopilotKit to Matrix-themed color scheme with green accents|feat/nextjs-migration,origin/feat/nextjs-migration
c46eacb|2025-11-23 21:27:24 +0530|feat: add comprehensive markdown styling for CopilotKit chat|feat/nextjs-migration,origin/feat/nextjs-migration
1c9f86f|2025-11-23 21:26:45 +0530|fix: improve sidebar resizer functionality and enable markdown rendering in CopilotChat|feat/nextjs-migration,origin/feat/nextjs-migration
a866e78|2025-11-23 21:25:07 +0530|refactor: move custom scenario sidebar to screen edge and improve resizer|feat/nextjs-migration,origin/feat/nextjs-migration
37ffda8|2025-11-23 21:21:46 +0530|feat: wire custom scenario page to lobby 'Create Your Own' button|feat/nextjs-migration,origin/feat/nextjs-migration
97a4a89|2025-11-23 21:19:38 +0530|refactor: change GameScreen layout from 3 columns to 3 responsive rows|feat/nextjs-migration,origin/feat/nextjs-migration
28514d5|2025-11-23 21:13:53 +0530|fix: wrap useSearchParams in Suspense boundary for custom-scenario page|feat/nextjs-migration,origin/feat/nextjs-migration
696db3f|2025-11-23 21:12:13 +0530|fix: wrap useSearchParams in Suspense boundary for Next.js 15 compatibility|feat/nextjs-migration,origin/feat/nextjs-migration
610a64b|2025-11-23 21:08:26 +0530|fix: make postinstall script more resilient in CI environments|feat/nextjs-migration,origin/feat/nextjs-migration
9d8b0f3|2025-11-23 20:57:37 +0530|chore: update lobby assets|feat/nextjs-migration,origin/feat/nextjs-migration
36db28c|2025-11-23 20:55:59 +0530|feat: add The Architect scenario builder|feat/nextjs-migration,origin/feat/nextjs-migration
cae03bb|2025-11-23 20:53:39 +0530|build: wire Copilot runtime endpoint|feat/nextjs-migration,origin/feat/nextjs-migration
ebb7ff5|2025-11-23 20:50:35 +0530|docs: update planning notes|feat/nextjs-migration,origin/feat/nextjs-migration
4ba66b4|2025-11-23 20:50:24 +0530|chore: sync beads metadata|feat/nextjs-migration,origin/feat/nextjs-migration
4d79db1|2025-11-20 20:24:45 +0530|docs(custom-scenario): clarify compatibility note for private-by-default vs current POST /api/scenarios pending status|feat/nextjs-migration,origin/feat/nextjs-migration
5a31635|2025-11-20 19:57:20 +0530|chore(scripts): align manage-scenarios output with coreMetric.value standardization|feat/nextjs-migration,origin/feat/nextjs-migration
01176d6|2025-11-20 18:39:43 +0530|docs(custom-scenario): add Finalized Plan section (2025-11-20); CopilotKit-first UX and 3-endpoint finalize chain documented|feat/nextjs-migration,origin/feat/nextjs-migration
a6bfd2f|2025-11-20 17:29:23 +0530|docs(custom-scenario): document 3-endpoint finalize flow and CopilotKit builder phases; ui: add /custom-scenario form matching GameSetup with Copilot hooks (scaffold)|feat/nextjs-migration,origin/feat/nextjs-migration
8d21b7a|2025-11-20 09:06:09 +0530|docs(custom-scenario): align finalize with existing API contract by generating initialEvent at finalize|feat/nextjs-migration,origin/feat/nextjs-migration
fb06960|2025-11-20 08:29:10 +0530|prompts: standardize coreMetric.value in schema and instructions; docs: note value in finalization flow|feat/nextjs-migration,origin/feat/nextjs-migration
ca98aa7|2025-11-17 21:13:56 +0530|Move current-round panel into blue card; enforce 3-col grid|feat/nextjs-migration,origin/feat/nextjs-migration
2fe6f74|2025-11-16 18:21:40 +0530|docs: update admin design for catch-all router; add custom scenario refinement design|feat/nextjs-migration,origin/feat/nextjs-migration
dff348d|2025-11-16 18:21:23 +0530|chore(admin): remove individual admin API routes now consolidated in catch-all|feat/nextjs-migration,origin/feat/nextjs-migration
8be37db|2025-11-16 18:18:56 +0530|feat(admin): add catch-all admin API router for metrics, feedback, and scenarios|feat/nextjs-migration,origin/feat/nextjs-migration
f5f61dd|2025-11-15 23:09:35 +0530|chore: Regenerate package-lock.json with @vercel/analytics|feat/nextjs-migration,origin/feat/nextjs-migration
2f75981|2025-11-15 23:07:41 +0530|chore: Add Vercel Analytics and reduce webpack dev warnings|feat/nextjs-migration,origin/feat/nextjs-migration
6c09473|2025-11-15 22:47:17 +0530|feat: Add role-based admin access control with Clerk|feat/nextjs-migration,origin/feat/nextjs-migration
bd1c6a9|2025-11-15 22:32:21 +0530|feat: Replace NextAuth with Clerk for admin authentication|feat/nextjs-migration,origin/feat/nextjs-migration
5cf8cc6|2025-11-15 22:15:46 +0530|debug: Add middleware logging for NextAuth token check|feat/nextjs-migration,origin/feat/nextjs-migration
9ac8aa9|2025-11-15 22:04:48 +0530|update notes|feat/nextjs-migration,origin/feat/nextjs-migration
da862a5|2025-11-15 22:01:04 +0530|debug logs fix for auth|feat/nextjs-migration,origin/feat/nextjs-migration
a4c3ba5|2025-11-15 22:00:30 +0530|debug logs for auth|feat/nextjs-migration,origin/feat/nextjs-migration
da08a88|2025-11-15 21:45:51 +0530|docs: Add development notes for database management|feat/nextjs-migration,origin/feat/nextjs-migration
e2e772a|2025-11-15 21:45:38 +0530|docs: Add deployment guide and Prisma debug script|feat/nextjs-migration,origin/feat/nextjs-migration
bfcc61a|2025-11-15 21:45:31 +0530|fix: Remove trustHost from NextAuth config for compatibility|feat/nextjs-migration,origin/feat/nextjs-migration
c9703b2|2025-11-15 18:51:47 +0530|feat: Final admin panel touches and metrics documentation|feat/nextjs-migration,origin/feat/nextjs-migration
d623ab8|2025-11-15 18:36:50 +0530|feat: Integrate admin metrics tracking into game flow|feat/nextjs-migration,origin/feat/nextjs-migration
3d88344|2025-11-15 18:36:43 +0530|feat: Update admin dashboard with enhanced metrics and components|feat/nextjs-migration,origin/feat/nextjs-migration
3d3958d|2025-11-15 18:36:37 +0530|feat: Enhance data repositories and feedback types|feat/nextjs-migration,origin/feat/nextjs-migration
339f49d|2025-11-15 18:36:28 +0530|feat: Add admin client and type definitions|feat/nextjs-migration,origin/feat/nextjs-migration
93460a6|2025-11-15 18:36:21 +0530|feat: Add specialized admin UI components|feat/nextjs-migration,origin/feat/nextjs-migration
9c454e3|2025-11-15 15:41:16 +0530|chore: Update dependencies and session router integration|feat/nextjs-migration,origin/feat/nextjs-migration
2e8e61e|2025-11-15 15:41:12 +0530|feat: Update admin API endpoints to use data repositories|feat/nextjs-migration,origin/feat/nextjs-migration
51f3fba|2025-11-15 15:41:07 +0530|feat: Update admin UI pages to use data repositories|feat/nextjs-migration,origin/feat/nextjs-migration
eb784fe|2025-11-15 15:41:02 +0530|feat: Enhance database schema with modular metrics and scenario tracking|feat/nextjs-migration,origin/feat/nextjs-migration
ce68e76|2025-11-15 15:40:57 +0530|refactor: Add data layer repositories for queries|feat/nextjs-migration,origin/feat/nextjs-migration
1a476bb|2025-11-15 14:31:52 +0530|docs: Export admin panel Beads task breakdown|feat/nextjs-migration,origin/feat/nextjs-migration
01d6a31|2025-11-15 14:31:46 +0530|chore: Add admin dependencies and update configurations|feat/nextjs-migration,origin/feat/nextjs-migration
e8ad964|2025-11-15 14:30:56 +0530|feat: Admin panel UI with dashboard, scenarios, feedback, and health pages|feat/nextjs-migration,origin/feat/nextjs-migration
2554a4d|2025-11-15 14:30:47 +0530|feat: Admin API endpoints for metrics, scenarios, and feedback|feat/nextjs-migration,origin/feat/nextjs-migration
eaf47ac|2025-11-15 14:30:41 +0530|feat: Admin authentication and database schema updates|feat/nextjs-migration,origin/feat/nextjs-migration
3997283|2025-11-15 10:01:30 +0530|refactor: Remove realtime dependencies and enhance UX|feat/nextjs-migration,origin/feat/nextjs-migration
27bf201|2025-11-15 04:00:16 +0530|fix: Add anti-buffering headers for Vercel SSE stream|feat/nextjs-migration,origin/feat/nextjs-migration
1ff150c|2025-11-15 03:12:49 +0530|fix: Remove duplicate SSE subscription and dead code|feat/nextjs-migration,origin/feat/nextjs-migration
5c64590|2025-11-15 02:50:07 +0530|feat: Add SSE auto-reconnection and comprehensive observability|feat/nextjs-migration,origin/feat/nextjs-migration
b9d6b56|2025-11-15 01:53:35 +0530|SSE flakyness bug fix, learn code base|feat/nextjs-migration,origin/feat/nextjs-migration
8cd2353|2025-11-07 01:02:10 +0530|test: Add schema backward-compatibility tests for production bug|feat/nextjs-migration,origin/feat/nextjs-migration
8bd4ef4|2025-11-06 23:43:05 +0530|fix: Make stakeholder schema backward-compatible with old public scenarios|feat/nextjs-migration,origin/feat/nextjs-migration
3e227b6|2025-11-06 18:57:21 +0530|debug: Add comprehensive logging for intermittent SSE/action options issue|feat/nextjs-migration,origin/feat/nextjs-migration
40c309e|2025-11-06 18:32:05 +0530|fix: Replace fixed SSE delay with adaptive connection polling|feat/nextjs-migration,origin/feat/nextjs-migration
1be5100|2025-11-06 18:30:36 +0530|fix: Resolve session restart and action options loading bugs|feat/nextjs-migration,origin/feat/nextjs-migration
eec8072|2025-11-06 18:22:27 +0530|feat: Make EndScreen/debrief view mobile-friendly|feat/nextjs-migration,origin/feat/nextjs-migration
487a6cf|2025-11-06 18:16:30 +0530|feat: Add SSE connection status monitoring and UI improvements|feat/nextjs-migration,origin/feat/nextjs-migration
7c508b9|2025-11-06 04:55:46 +0530|Implemetented a redis session store which inherits in mem store | pair:claude|feat/nextjs-migration,origin/feat/nextjs-migration
9e1ea40|2025-11-06 03:58:28 +0530|feat: Add causal citations to debrief and fix lobby state bugs|feat/nextjs-migration,origin/feat/nextjs-migration
dd89ccd|2025-11-05 19:42:02 +0530|created governance plan and retro|feat/nextjs-migration,origin/feat/nextjs-migration
a955b85|2025-11-05 19:40:06 +0530|chore: cleanup legacy lib/api files; update routes/docs/tests for migration; maintain gitignore|feat/nextjs-migration,origin/feat/nextjs-migration
f7056cd|2025-11-05 19:39:46 +0530|refactor(prompts/setup): generalize scenario fallbacks; remove election-specific defaults; nudge concise causes|feat/nextjs-migration,origin/feat/nextjs-migration
d022c96|2025-11-05 19:39:23 +0530|fix(game): sync hiddenScore/actionPoints from SSE; enable End screen feedback modal|feat/nextjs-migration,origin/feat/nextjs-migration
34eea31|2025-11-05 19:39:05 +0530|fix(routing/nav): allow visiting Home explicitly; make title clickable to Home|feat/nextjs-migration,origin/feat/nextjs-migration
0ccbaa3|2025-11-05 19:38:40 +0530|feat(ui): add nav toggle for Setup Progress HUD; gate StartProgress behind store flag|feat/nextjs-migration,origin/feat/nextjs-migration
